date,home_team,away_team,home_goals,away_goals
2025-02-02,CF Estrela da Amadora,Sport Lisboa e Benfica,2,3
2025-02-03,Moreirense FC,Sporting Clube de Braga,1,2
2025-02-03,Rio Ave FC,FC Porto,2,2
2025-02-07,FC Porto,Sporting Clube de Portugal,1,1
2025-02-08,AVS,CD Santa Clara,1,2
2025-02-08,Sport Lisboa e Benfica,Moreirense FC,3,2
2025-02-08,FC Famalicão,Vitória SC,0,0
2025-02-09,GD Estoril Praia,Boavista FC,2,1
2025-02-09,SC Farense,CD Nacional,0,2
2025-02-09,Sporting Clube de Braga,Gil Vicente FC,2,0
2025-02-09,Casa Pia AC,CF Estrela da Amadora,1,0
2025-02-10,FC Arouca,Rio Ave FC,1,1
2025-02-14,Boavista FC,CF Estrela da Amadora,0,1
2025-02-15,Moreirense FC,Casa Pia AC,3,2
2025-02-15,CD Nacional,GD Estoril Praia,2,2
2025-02-15,CD Santa Clara,Sport Lisboa e Benfica,0,1
2025-02-15,Sporting Clube de Portugal,FC Arouca,2,2
2025-02-16,Rio Ave FC,AVS,1,1
2025-02-16,SC Farense,FC Porto,0,1
2025-02-16,Vitória SC,Sporting Clube de Braga,0,0
2025-02-17,Gil Vicente FC,FC Famalicão,0,2
2025-02-21,Sporting Clube de Braga,CD Nacional,1,0
2025-02-22,Casa Pia AC,Gil Vicente FC,1,0
2025-02-22,Sport Lisboa e Benfica,Boavista FC,3,0
2025-02-22,GD Estoril Praia,Rio Ave FC,2,1
2025-02-23,CF Estrela da Amadora,CD Santa Clara,0,0
2025-02-23,FC Arouca,SC Farense,2,2
2025-02-23,AVS,Sporting Clube de Portugal,2,2
2025-02-23,FC Famalicão,Moreirense FC,2,0
2025-02-24,FC Porto,Vitória SC,1,1
2025-03-01,CD Nacional,FC Famalicão,2,1
2025-03-01,FC Arouca,FC Porto,0,2
2025-03-01,Vitória SC,Casa Pia AC,1,0
2025-03-02,Boavista FC,CD Santa Clara,1,0
2025-03-02,Moreirense FC,CF Estrela da Amadora,1,1
2025-03-02,SC Farense,AVS,0,1
2025-03-02,Rio Ave FC,Sporting Clube de Braga,2,1
2025-03-03,Sporting Clube de Portugal,GD Estoril Praia,3,1
2025-03-07,CF Estrela da Amadora,Gil Vicente FC,1,1
2025-03-08,AVS,FC Arouca,0,1
2025-03-08,GD Estoril Praia,SC Farense,2,2
2025-03-08,Sport Lisboa e Benfica,CD Nacional,3,0
2025-03-08,Sporting Clube de Braga,FC Porto,1,0
2025-03-09,CD Santa Clara,Moreirense FC,1,1
2025-03-09,Casa Pia AC,Sporting Clube de Portugal,1,3
2025-03-09,Boavista FC,Vitória SC,1,2
2025-03-10,FC Famalicão,Rio Ave FC,1,0
2025-03-15,SC Farense,Sporting Clube de Braga,0,1
2025-03-15,Gil Vicente FC,CD Santa Clara,0,1
2025-03-15,FC Porto,AVS,2,0
2025-03-15,Sporting Clube de Portugal,FC Famalicão,3,1
2025-03-16,CD Nacional,Casa Pia AC,3,1
2025-03-16,FC Arouca,GD Estoril Praia,1,1
2025-03-16,Rio Ave FC,Sport Lisboa e Benfica,2,3
2025-03-16,Vitória SC,CF Estrela da Amadora,2,0
2025-03-16,Moreirense FC,Boavista FC,1,0
2025-03-28,Gil Vicente FC,Sport Lisboa e Benfica,0,3
2025-03-29,Casa Pia AC,Rio Ave FC,2,1
2025-03-29,CF Estrela da Amadora,Sporting Clube de Portugal,0,3
2025-03-29,Sporting Clube de Braga,FC Arouca,2,1
2025-03-30,FC Famalicão,AVS,4,1
2025-03-30,CD Santa Clara,CD Nacional,1,0
2025-03-30,GD Estoril Praia,FC Porto,1,2
2025-03-30,Moreirense FC,Vitória SC,2,2
2025-04-01,Boavista FC,Gil Vicente FC,1,3
2025-04-02,Sport Lisboa e Benfica,SC Farense,3,2
2025-04-04,AVS,GD Estoril Praia,0,3
2025-04-05,FC Arouca,FC Famalicão,1,2
2025-04-05,Vitória SC,CD Santa Clara,2,0
2025-04-06,Gil Vicente FC,Moreirense FC,0,1
2025-04-06,CD Nacional,CF Estrela da Amadora,0,1
2025-04-06,FC Porto,Sport Lisboa e Benfica,1,4
2025-04-07,SC Farense,Casa Pia AC,0,0
2025-04-07,Rio Ave FC,Boavista FC,0,2
2025-04-07,Sporting Clube de Portugal,Sporting Clube de Braga,1,1
2025-04-11,Gil Vicente FC,Vitória SC,0,1
2025-04-12,FC Famalicão,GD Estoril Praia,3,0
2025-04-12,Boavista FC,CD Nacional,0,1
2025-04-12,CD Santa Clara,Sporting Clube de Portugal,0,1
2025-04-12,Casa Pia AC,FC Porto,0,1
2025-04-13,CF Estrela da Amadora,SC Farense,0,1
2025-04-13,Sporting Clube de Braga,AVS,4,1
2025-04-13,Sport Lisboa e Benfica,FC Arouca,2,2
2025-04-13,Moreirense FC,Rio Ave FC,0,2
2025-04-18,SC Farense,Boavista FC,0,1
2025-04-18,Rio Ave FC,CD Santa Clara,1,1
2025-04-18,FC Porto,FC Famalicão,2,1
2025-04-18,Sporting Clube de Portugal,Moreirense FC,3,1
2025-04-19,CD Nacional,Gil Vicente FC,0,3
2025-04-19,AVS,Casa Pia AC,1,1
2025-04-19,GD Estoril Praia,Sporting Clube de Braga,0,2
2025-04-19,FC Arouca,CF Estrela da Amadora,1,0
2025-04-19,Vitória SC,Sport Lisboa e Benfica,0,3
2025-04-25,FC Famalicão,Sporting Clube de Braga,1,1
2025-04-26,CD Santa Clara,FC Arouca,2,0
2025-04-26,Gil Vicente FC,SC Farense,1,0
2025-04-26,CF Estrela da Amadora,FC Porto,2,0
2025-04-27,Moreirense FC,CD Nacional,1,1
2025-04-27,Sport Lisboa e Benfica,AVS,6,0
2025-04-27,Vitória SC,Rio Ave FC,3,0
2025-04-27,Boavista FC,Sporting Clube de Portugal,0,5
2025-04-29,Casa Pia AC,GD Estoril Praia,1,3
2025-05-02,FC Porto,Moreirense FC,3,1
2025-05-03,CD Nacional,Vitória SC,1,2
2025-05-03,SC Farense,FC Famalicão,2,1
2025-05-03,Sporting Clube de Braga,CD Santa Clara,1,1
2025-05-03,GD Estoril Praia,Sport Lisboa e Benfica,1,2
2025-05-04,FC Arouca,Casa Pia AC,0,0
2025-05-04,Sporting Clube de Portugal,Gil Vicente FC,2,1
2025-05-05,Rio Ave FC,CF Estrela da Amadora,2,0
2025-05-05,AVS,Boavista FC,1,2
2025-05-10,CD Santa Clara,FC Famalicão,2,1
2025-05-10,CD Nacional,Rio Ave FC,3,3
2025-05-10,Sport Lisboa e Benfica,Sporting Clube de Portugal,1,1
2025-05-10,Casa Pia AC,Sporting Clube de Braga,2,1
2025-05-10,Gil Vicente FC,FC Arouca,1,1
2025-05-11,CF Estrela da Amadora,AVS,0,1
2025-05-11,Moreirense FC,GD Estoril Praia,2,2
2025-05-11,Vitória SC,SC Farense,1,2
2025-05-11,Boavista FC,FC Porto,1,2
2025-05-16,Rio Ave FC,Gil Vicente FC,1,1
2025-05-16,FC Famalicão,Casa Pia AC,2,1
2025-05-17,GD Estoril Praia,CF Estrela da Amadora,4,0
2025-05-17,Sporting Clube de Portugal,Vitória SC,2,0
2025-05-17,Sporting Clube de Braga,Sport Lisboa e Benfica,1,1
2025-05-17,FC Porto,CD Nacional,3,0
2025-05-17,AVS,Moreirense FC,0,3
2025-05-17,FC Arouca,Boavista FC,4,1
2025-05-17,SC Farense,CD Santa Clara,1,2
